[2020-02-27T09:28:06.648796+01:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-02-27T09:29:57.131624+01:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-02-27T09:48:58.179676+01:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-02-27T09:49:54.533156+01:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-02-27T09:50:15.170483+01:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-02-27T09:50:28.056972+01:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-02-27T09:52:36.803092+01:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-02-27T09:52:59.513107+01:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-02-27T09:53:21.142853+01:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-02-27T09:56:38.670034+01:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-02-27T09:59:12.636720+01:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-02-27T10:08:16.329666+01:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
